,user_id,user_reviews_count,yelping_since,user_useful_reviews,fans,elite_count,compliment_count,months_since,final_score,text,user_review_useful_count,business_id,cool,review_id,date,user_review_stars,funny,sentiment_score,address,attributes,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,business_review_count,business_review_stars,state
0,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"s ambience is so-so. They would benefit from real walls (or tinted glass) to muffle some of the casino chatter and give it a real partitioned feeling. The sports game playing on the TV near us felt out of place, though a friend said it",0,PDIh1lVtKlUqPJROXYJQvQ,0,b'EpGJ1WxNzRNQcTP2mzDpdg',b'2007-12-01',4,0,33,"Bellagio Las Vegas, 3600 S Las Vegas Blvd","{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'loud', 'RestaurantsAttire': 'dressy', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}, 'RestaurantsGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': False, 'WiFi': 'free', 'RestaurantsReservations': True, 'BYOB': False, 'BusinessAcceptsBitcoin': False, 'RestaurantsTableService': True, 'Corkage': True, 'RestaurantsTakeOut': False, 'GoodForKids': False, 'WheelchairAccessible': True, 'DogsAllowed': False, 'BikeParking': False, 'OutdoorSeating': False, 'RestaurantsPriceRange2': 3, 'RestaurantsDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}}","['American (New)', 'Steakhouses', 'Restaurants', 'Nightlife', 'Seafood', 'Bars']",Las Vegas,"{'Monday': '17:00-23:00', 'Tuesday': '17:00-23:00', 'Friday': '17:00-0:00', 'Wednesday': '17:00-23:00', 'Thursday': '17:00-23:00', 'Sunday': '17:00-23:00', 'Saturday': '17:00-0:00'}",1,36.1138449,-115.1753912,FIX,The Strip,89109.0,605,3.5,NV
1,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"Lotus of Siam recommends folks make reservations for dinner, and I couldn\",3,KskYqH1Bi7Z_61pH6Om8pg,2,b'q-Ypu0rV48niwF5zHChrhQ',b'2008-02-25',4,2,30,"953 E Sahara Ave, Ste A5","{'Alcohol': 'beer_and_wine', 'HasTV': False, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsGoodForGroups': True, 'BYOBCorkage': 'yes_free', 'Caters': False, 'WiFi': 'no', 'RestaurantsReservations': True, 'BYOB': False, 'BikeParking': False, 'Corkage': False, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'HappyHour': False, 'GoodForDancing': False, 'Open24Hours': False, 'RestaurantsTableService': True, 'OutdoorSeating': False, 'RestaurantsPriceRange2': 2, 'RestaurantsDelivery': False, 'BestNights': {'monday': False, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'CoatCheck': False, 'Smoking': 'no', 'WheelchairAccessible': True, 'DietaryRestrictions': {'dairy-free': True, 'gluten-free': False, 'vegan': True, 'kosher': False, 'halal': False, 'soy-free': False, 'vegetarian': True}, 'RestaurantsCounterService': False}","['Car Dealers', 'Thai', 'Automotive', 'Seafood', 'Bars', 'Wine Bars', 'Restaurants', 'Nightlife']",Las Vegas,"{'Monday': '11:00-14:30', 'Tuesday': '11:00-14:30', 'Friday': '11:00-14:30', 'Wednesday': '11:00-14:30', 'Thursday': '11:00-14:30', 'Sunday': '17:30-22:00', 'Saturday': '17:30-22:00'}",1,36.14345,-115.14278,Lotus of Siam,Downtown,89104.0,3964,4.0,NV
2,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"t obvious where it is, at least for anyone who can",1,EkuSy_kM8dpGrlb2pTxCBw,1,b'4ySO2Hq-hNE1DFNst1pZfA',b'2008-01-04',4,2,28,3765 S Las Vegas Blvd,"{'RestaurantsTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': True, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'beer_and_wine', 'Caters': False, 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': True, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': False, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}","['Restaurants', 'Barbeque', 'Korean']",Las Vegas,"{'Monday': '0:00-0:00', 'Tuesday': '0:00-0:00', 'Friday': '0:00-0:00', 'Wednesday': '0:00-0:00', 'Thursday': '0:00-0:00', 'Sunday': '0:00-0:00', 'Saturday': '0:00-0:00'}",1,36.105019299999995,-115.171768,Ginseng Korean BBQ II,The Strip,89109.0,291,3.0,NV
3,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"t, I fall in the former camp). One of my friends requested hot peppers and they came out in little baggies - that",4,nVAJZ6BJ9PPlxDXn976R6A,5,b'TLJDQodZfSNAmEjF4QaWCQ',b'2008-03-21',4,2,26,4888 Dean Martin Dr,"{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'Caters': False, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'WheelchairAccessible': True, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}","['Restaurants', 'Burgers', 'Fast Food']",Las Vegas,"{'Monday': '10:30-1:00', 'Tuesday': '10:30-1:00', 'Friday': '10:30-1:30', 'Wednesday': '10:30-1:00', 'Thursday': '10:30-1:00', 'Sunday': '10:30-1:00', 'Saturday': '10:30-1:30'}",1,36.1013195,-115.18218619999999,In-N-Out Burger,,89103.0,954,4.0,NV
4,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"s slightly sweet, with a perfect, light texture. A few plates of combination (pork, chicken, beef) fried rice (9.95/plate) rounded off our meal nicely. (Somehow we ended up with sticky rice too, but I didn",12,EWbNTPW0co_X4lZRB-QTLQ,9,b'MS8tvRYuQGMex2-tXx8keg',b'2008-12-22',5,9,25,1201 Las Vegas Blvd S,"{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsGoodForGroups': True, 'Caters': True, 'WiFi': 'free', 'RestaurantsReservations': True, 'BusinessAcceptsBitcoin': False, 'RestaurantsTableService': True, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'DogsAllowed': False, 'BikeParking': True, 'OutdoorSeating': False, 'RestaurantsPriceRange2': 2, 'RestaurantsDelivery': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}, 'DietaryRestrictions': {'dairy-free': False, 'gluten-free': False, 'vegan': False, 'kosher': False, 'halal': False, 'soy-free': False, 'vegetarian': True}}","['Chinese', 'Restaurants', 'Thai']",Las Vegas,"{'Monday': '11:00-23:00', 'Tuesday': '11:00-23:00', 'Friday': '11:00-0:00', 'Wednesday': '11:00-23:00', 'Thursday': '11:00-23:00', 'Sunday': '11:00-23:00', 'Saturday': '11:00-0:00'}",1,36.156674200000005,-115.1484497,Ocha Thai Cuisine,Downtown,89104.0,312,4.0,NV
5,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,t allowed to use them. The staff told us that they weren,1,EVxY3Vcc-4uavsq2CQsk3g,0,b'-yW0Cln38l1EM5oDag4O5g',b'2007-04-26',4,0,25,3131 South Las Vegas Blvd,"{'Open24Hours': False, 'Alcohol': 'full_bar', 'HasTV': False, 'CoatCheck': True, 'NoiseLevel': 'very_loud', 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'AgesAllowed': '21plus', 'Music': {'dj': True, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'WheelchairAccessible': True, 'BikeParking': False, 'Smoking': 'yes', 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}, 'BestNights': {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}, 'RestaurantsGoodForGroups': True, 'HappyHour': False, 'GoodForDancing': True, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}}","['Nightlife', 'Dance Clubs']",Las Vegas,{},0,36.12681141,-115.16740159999998,Tryst Nightclub,The Strip,89109.0,984,3.5,NV
6,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"""Classy"" and ""buffet"" usually don\",14,2weQS-RnoOBhb1KsHKyoSQ,13,b'sTZrFGELogFdSoRxv5PYgw',b'2009-12-06',4,7,24,3131 Las Vegas Blvd S,"{'Alcohol': 'full_bar', 'HasTV': False, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': False, 'WiFi': 'no', 'RestaurantsReservations': False, 'BYOB': False, 'RestaurantsTableService': True, 'Corkage': False, 'RestaurantsTakeOut': False, 'GoodForKids': True, 'WheelchairAccessible': True, 'BikeParking': False, 'OutdoorSeating': False, 'RestaurantsPriceRange2': 3, 'RestaurantsDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': True}, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}, 'RestaurantsCounterService': False}","['Buffets', 'Restaurants']",Las Vegas,"{'Monday': '7:30-21:30', 'Tuesday': '7:30-21:30', 'Friday': '7:30-21:30', 'Wednesday': '7:30-21:30', 'Thursday': '7:30-21:30', 'Sunday': '7:30-21:30', 'Saturday': '7:30-21:30'}",1,36.12688722,-115.16559,The Buffet,The Strip,89109.0,4018,3.5,NV
7,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"s pricey dessert goodness, but worth it for those with sweet tooths. (I tried a bite of one of their other desserts, but I",5,UUGoM4q4i8rK2CBRS0xDAw,5,b'v3OIxFQHfa5Y6n1jUGw2fQ',b'2008-06-09',4,2,23,3600 S Las Vegas Blvd,"{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}, 'Alcohol': 'none', 'Caters': False, 'HasTV': False, 'RestaurantsGoodForGroups': False, 'NoiseLevel': 'average', 'WiFi': 'free', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': False, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'ByAppointmentOnly': False, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}}","['Coffee & Tea', 'Cafes', 'Desserts', 'Food', 'Restaurants']",Las Vegas,"{'Monday': '6:00-23:00', 'Tuesday': '6:00-23:00', 'Friday': '6:00-0:00', 'Wednesday': '6:00-23:00', 'Thursday': '6:00-23:00', 'Sunday': '6:00-0:00', 'Saturday': '6:00-0:00'}",1,36.11194592,-115.17687679999999,Jean Philippe Patisserie,The Strip,89109.0,1184,4.0,NV
8,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"re wonderfully opulent affairs, with amenities like a full bath, soft beds, and lots of space, perfect for pregaming. We were able to walk downstairs to Tao (NOT my favorite place to party). The Venetian is secure, has a friendly concierge staff that",4,Wxxvi3LZbHNIDwJ-ZimtnA,2,b'tXk4lDHmUZ63jWwEisVAwA',b'2008-06-09',5,2,21,3355 South Las Vegas Boulevard,"{'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'WiFi': 'free', 'GoodForKids': False}","['Casinos', 'Hotels', 'Resorts', 'Arts & Entertainment', 'Event Planning & Services', 'Hotels & Travel']",Las Vegas,"{'Monday': '0:00-0:00', 'Tuesday': '0:00-0:00', 'Friday': '0:00-0:00', 'Wednesday': '0:00-0:00', 'Thursday': '0:00-0:00', 'Sunday': '0:00-0:00', 'Saturday': '0:00-0:00'}",1,36.121189,-115.169657,The Venetian Las Vegas,The Strip,89109.0,3101,4.0,NV
9,23J4vG9_xxxdnmi8CBX7Ng,1659,10/12/2004,49143,1222,13,22922,162,8.480747467,"What. A. Fun. Place.\nI was wandering the 90210 Rodeo Drive district when I spotted this photo/memorabilia gallery.  \nThe first cool photo that caught my eye upon entering was a large (maybe 30x 40) b/w of the Hollywood Sign during the recent fire in that area.  Billows of ominous gray smoke loomed over the hill behind the sign......what a great shot.  I guess the photographer climbed up the hill and/or used a telephoto.  Price:  2500 or perhaps 2800, nicely framed.  \nThis is not a snooty place -  I got a friendly tour from the nice young man minding the store (I am terrible about remembering names...).  Anyway, no reason to feel intimidated in this gallery.....just ask all the questions you wish.\n\nThere were great photos of musicians, 1960\",8,VbOwWJKLC6k3urXIBWIDJA,16,b'CE1YPdhhZxQ2yJ_UApprcg',b'2007-09-22',5,7,5,6445 South Tenaya Way,"{'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}}","['Arts & Entertainment', 'Art Galleries', 'Shopping']",Las Vegas,"{'Monday': '0:00-0:00', 'Tuesday': '0:00-0:00', 'Friday': '0:00-0:00', 'Wednesday': '0:00-0:00', 'Thursday': '0:00-0:00', 'Sunday': '0:00-0:00', 'Saturday': '0:00-0:00'}",1,36.071356200000004,-115.2528119,Celebrity Vault,Spring Valley,89113.0,4,5.0,NV
