1,Restaurants,Fast Food,9,Chinese,9,Nightlife,9,6s-g2vFu12OemhiK3FJuOQ
2,Restaurants,Argentine,1,Seafood,1,Latin American,1,JjXuiru1_ONzDkYVrHN0aw
4,Restaurants,Bars,7,Nightlife,7,American (Traditional),2,VHdY6oG2JPVNjihWhOooAQ
5,Restaurants,American (Traditional),6,Coffee & Tea,4,Breakfast & Brunch,4,nkN_do3fJ9xekchVC-v68A
6,Restaurants,Breakfast & Brunch,16,American (New),15,Bars,11,om5ZiponkpRqUNa3pVPiRg
7,Restaurants,Coffee & Tea,23,Breakfast & Brunch,18,Sandwiches,12,gjhzKWsqCIrpEd9pevbKZw
8,Restaurants,Bars,5,Nightlife,5,Diners,3,iLjMdZi0Tm7DQxX1C1_2dg
9,Restaurants,American (Traditional),6,American (New),5,Steakhouses,4,G5LXEaxhQMF_BVjNHkVr7g
10,Restaurants,American (Traditional),20,Bars,14,Nightlife,14,ysCBsXWPB-LAiewVS3jZfQ
11,Restaurants,Breakfast & Brunch,4,American (New),3,Canadian (New),3,q_QQ5kBBwlCcbL1s4NVK3g
12,Restaurants,Chinese,23,Bakeries,17,Desserts,13,nzsv-p1O8gCfP3XijfQrIw
13,Restaurants,Coffee & Tea,12,Bars,7,Nightlife,7,5MCBLBxr10NLUKZ4AboAMg
14,Restaurants,American (New),16,Sandwiches,11,American (Traditional),8,m07sy7eLtOjVdZ8oN9JKag
15,Restaurants,American (Traditional),13,Bakeries,11,Nightlife,10,5F_ASUSCHFf3YotkKioZ5w
16,Restaurants,Nightlife,21,Bars,21,American (New),13,ITa3vh5ERI90G_WP4SmGUQ
17,Restaurants,Chinese,7,Desserts,5,American (Traditional),5,8Aq_UdlsrjhBwGWb_U-xRA
20,Restaurants,American (New),19,Breakfast & Brunch,15,Nightlife,13,Xj0O2l0bp633ebmG468aZw
21,Restaurants,Nightlife,21,Bars,19,American (New),16,UQFE3BT1rsIYrcDvu_XVow
22,Restaurants,Nightlife,4,Bars,4,Breakfast & Brunch,4,wEE-YMx5pmSuagLtNxMPKA
23,Restaurants,American (Traditional),8,Arts & Entertainment,6,Breakfast & Brunch,6,HYQoxBC1y1DGPq6pGP09Tw
24,Restaurants,Steakhouses,10,Desserts,9,Seafood,7,eKUGKQRE-Ywi5dY55_zChg
25,Restaurants,Nightlife,107,Bars,103,American (New),74,8DEyKVyplnOcSKx39vatbg
26,Restaurants,Japanese,60,Nightlife,58,Bars,57,rt3PC7WCgCKsoufmQJELfw
27,Restaurants,Bakeries,2,Japanese,1,Mediterranean,1,P5bUL3Engv-2z6kKohB6qQ
